Color #,Color,Banding Color,Blank Code,Banding Abreviation
18,Blue Surface,Black,Blue Surface,BLK
20,Blue Surface,Grey,Blue Surface,GRY
21,London Grey,Grey,GREY,GRY
22,Marker Board,Black,MARKER,BLK
23,Marker Board,Grey,MARKER,GRY
24,Storm Grey,Grey,GREY,GRY
30,Mossy Oak,Black,CHOK,BLK
31,Orissa Cherry,Black,CHOK,BLK
32,Portland Cherry,Black,CHOK,BLK
33,Java Glow,Black,JAVA,BLK
34,Exec cherry,Black,CHOK,BLK
35,Exec Cherry,Black,CHOK,BLK
36,Fusion Maple,Fusion,MAGR,MAP
37,Dogbone Storm,Graphite,GREY,GRY
38,Tan Echo,Tan Echo,TAN,TAN
39,Fusion Maple,Black,MAGR,BLK
40,Exec Cherry,Cherry,CHOK,CHR
41,Exec Cherry,Black,CHOK,BLK
42,Mahogany,Mahogany,MAHOGANY,
43,Mahogany,Black,MAHOGANY,BLK
44,Solar Oak,Solar Oak,CHOK,OAK
45,Solar Oak,Black,CHOK,BLK
46,Wild Apple,Wild Apple,APPL,APL
47,Wild Apple,Black,APPL,BLK
48,Montana Walnut,Black,WALNUT,BLK
49,Solar Oak,Black,CHOK,BLK
50,Fusion Maple,Black,MAGR,BLK
51,Gray Glace,Blue,MAGR,BLU
52,Gray Glace,Green,MAGR,GRN
53,Gray Glace,Red,MAGR,RED
54,Gray Glace,Yellow,MAGR,YEL
55,Gray Glace,Black,MAGR,BLK
56,Gray Glace,Navy,MAGR,NAV
57,Gray Glace,Grey,MAGR,GRY
58,Solar Oak,Solar Oak,CHOK,OAK
59,Fusion Maple,Fusion,MAGR,MAP
60,Wild Cherry,Black,CHOK,BLK
61,Fusion Maple,Grey,MAGR,GRY
62,Fusion Maple,Blue,MAGR,BLU
63,Fusion Maple,Red,MAGR,RED
64,Fusion Maple,Green,MAGR,GRN
65,Fusion Maple,Yellow,MAGR,YEL
69,Fusion Maple,Fusion,MAGR,OAK
70,Solar Oak,Red,CHOK,RED
77,Grey Nebula,Black,Grey Nebula,BLK
78,Grey Nebula,Grey,Grey Nebula,GRY
79,Sand Shoal,Black,Sand Shoal,BLK
80,Sand Shoal,Grey,Sand Shoal,GRY
82,Gray Glace,Navy,MAGR,NAV
95,Classic Linnen,Classic Linnen,,GRY
96,Sand Shoal,Sand Shoal,,BLU
