"ItemCode","Assembly","Box","Chairs","Drill","Edgebander","Finished","Heian1","Heian2","Packline","Paint","Rework","Saw","Scrapped","SNX","Start","Table-Pack","T-nut","Vector","Weeke1","Weeke2"
"38-2252-22","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"MG2228-50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0"
"38-2266-23","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"MG2266-51","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","5","0","0"
"MG2236-50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0"
"38-2222-60","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"38-2237-60","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12","0","0"
"MG2266-50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0"
"MG2236-51","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","0","0"
"38-2310-60","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"38-2310-77","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"MG2237-82","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"MG2244-82","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"MG2238-82","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0"
"MG2237-49","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"MG2227-53","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"MG2268-82","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"MG2236-55","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0"
"MG2270-55","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0"
"38-2222-77","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"38-2270-23","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"MG2237-51","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0"
"38-2228-78","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"38-2270-50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","0","0"
"MG2228-49","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"MG2248-49","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"MG2227-49","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"MG2207-49","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"MG2268-49","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"MG2208-49","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"MG2287-49","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"38-2247-60","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","0","0"
"MG2245-49","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"MG2230-54","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0"
"MG2227-50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"MG2268-52","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"MG2244-51","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
