"ItemCode","Assembly","Box","Chairs","Debug","Drill","Edgebander","Finished","Heian1","Heian2","Packline","Paint","Saw","Scrapped","SNX-Band","SNX-Trim","Start","Table-Pack","Table-Pack2","T-nut","Vector","Weeke1","Weeke2"
"MG2228-50","","","","","","","","","","","","","","","","","","","","","",""
"38-2266-23","","","","","","","","","","","","","","","","","","","","","",""
"MG2266-51","","","","","","","","","","","","","","","","","","","","","","11"
"MG2266-50","","","","","","","","","","","","","","","","","","","","","",""
"38-2310-60","","","","","","","","","","","","","","","","","","","","","",""
"MG2287-49","","","","","","","","","","","","","","","","","","","","","",""
"MG2230-54","","","","","","","","","","","","","","","","","","","","","",""
"41-2422-78","","","","","","","","","","","","","","","","","","","","","",""
"MG2250-49","","","","","","","","","","","","","","","","","","","","","",""
"38-2237-22","","","","","","","","","","","","","","","","","","","","","",""
"38-2310-77","","","","","","","","","","","","","","","","","","","","","",""
"38-2272-60","","","","","","","","","","","","","","","","","","","","","",""
"MG2248-51","","","","","","","","","12","","","","","","","","","","","4","",""
"MG2245-53","","","","","","","","","","","","","","","","","","","","","",""
"MG2212-54","","","","","","","","","","","","","","","","","","","","","",""
"MG2246-55","","","","","","","","","","","","","","","","","","","","","",""
"MG2244-55","","","","","","","","","","","","","","","","","","","","","",""
"MG2244-53","","","","","","","","","","","","","","","","","","","","","",""
"MG2208-51","","","","","","","","","","","","","","","","","","","","","",""
"MG2277-55","","","","","","","","","","","","","","","","","","","","","",""
"MG2244-52","","","","","","","","","","","","","","","","","","","","","",""
"MG2245-54","","","","","","","","","","","","","","","","","","","","","",""
"38-2223-23","","","","","","","","","","","","","","","","","","","","","",""
"MG2238-49","","","","","","","","","","","","","","","","","","","","","",""
"MG2276-49","","","","","","","","","","","","","","","","","","","","","",""
"MG2245-82","","","","","","","","","","","","","","","","","","","","","",""
"MG2236-55","","","","","","","","","","","","","","","","","","","","","",""
"38-2220-79","","","","","","","","","","","","","","","","","","","","","",""
"MG2247-54","","","","","","","","","","","","","","","","","","","","","",""
"MG2266-49","","","","","","","","","","","","","","","","","","","","","",""
"MG2268-49","","","","","","","","","","","","","","","","","","","","","",""
"MG2208-49","","","","","","","","","","","","","","","","","","","","","",""
"38-2291-61","","","","","","","","","","","","","","","","","","","","","",""
"38-2236-22","","","","","","","","","","","","","","","","","","","","","",""
"MG2287-60","","","","","","","","","","","","","","","","","","","","","",""
"MG2247-53","","","","","","","","","","","","","","","","","","","","","",""
"MG2238-52","","","","","","","","","","","","","","","","","","","","","",""
"38-2284-60U","","","","","","","","","","","","","","","","","","","","","",""
"38-2284-77U","","","","","","","1","","","","","","","","","","","24","","","",""
"38-2284-77","","","","","","","1","","","","","","","","1","","","2","","","",""
"38-2284-78U","","","","","","","","","","","","","","","3","","","","","","",""
"38-2252-50","","","","","","","","","","","","","","","","","","","","","","11"
"MG2237-51","","","","","","","","","","","","","","","","","","","","1","",""
"MG2237-53","","","","","","","","","","","","","","","","","","","","1","",""
"MG2237-69","","","","","","","","","","","","","","","","","","6","","","",""
"MG2237-55","","","","","","","","","","","","","","","","","13","","","14","",""
"38-2222-60U","","","","","","","","","","","","","","4","3","","","","","","",""
"38-2222-49","","","","","","","","","","","","","","3","5","","","","","","",""
"38-2222-78","","","","","","","4","","","","","","","20","19","","","16","","","",""
"38-2222-23","","","","","","","","","","","","","","1","","","","","","","",""
"MG2248-60","","","","","","","","","7","","","","","","","","","","","","",""
"MG2248-52","","","","","","","","","5","","","","","","","","","","","","",""
"MG2238-51","","","","","","","","","8","","","","","","","","","","","7","",""
"38-2238-49","","","","","","","","","","","","","","","","","","","","","",""
"MG2238-60","","","","","","","","","","","","","","","","","","","","","",""
"MG2236-51","","","","","","","","","","","","","","","","","","","","","",""
"38-2268-61","","","","","","","","","","","","","","","","","","","","","",""
"38-2268-23","","","","","","","","","2","","","","","","","","","","","1","",""
"38-2272-22","","","","","","","","","13","","","","","","","","","","","12","",""
"MG2216-49","","","","","","","","","","","","","","","","","","","","","",""
"38-2216-61","","","","","","","","","","","","","","","","","","","","","",""
"MG2216-60","","","","","","","","","","","","","","","","","","","","","",""
"38-2226-49","","","","","","","","","","","","","","","","","","","","","",""
"38-2220-49","","","","","","","","","","","","","","","","","","","","","",""
"38-2220-60","","","","","","","","","","","","","","","","","","","","","",""
"MG2227-49","","","","","","","","","","","","","","","","","","","","","",""
"38-2230-77","","","","","","","","","","","","","","","","","","","","","",""
"MG2214-49","","","","","","","","","","","","","","","","","","","","","",""
"41-2428-49","","","","","","","","","","","","","","","","","","","","","",""
"41-2422-49","","","","","","","","","","","","","","","","","","","","","",""
"38-2247-77","","","","","","","","","","","","","","","","","","","","","",""
"41-2422-77","","","","","","","","","","","","","","","","","","","","","",""
"41-2429-77","","","","","","","","","","","","","","","","","","","","","",""
"38-2290-23","","","","","","","","","","","","","","","","","","","","","",""
"38-2310-60U","","","","","","","","","","","","","","","","","","","","","",""
"38-2291-50","","","","","","","","","","","","","","","","","","","","","",""
"MG2244-51","","","","","","","","","","","","","","","","","","","","","",""
"38-2228-61","","","","","","","","","","","","","","","","","","","","","",""
"MG2224-60","","","","","","","","","","","","","","","","","","","","","",""
"MG2266-69","","","","","","","","","","","","","","","","","","","","","",""
"38-2266-61","","","","","","","","","","","","","","","","","","","","","",""
"MG2212-50","","","","","","","","","","","","","","","","","","","","","",""
